"Source:","Y:\Project\ESE2RAM-Cartridge\ESE2RAM-Cartridge.kicad_sch"
"Date:","2026/05/27 1:39:44"
"Tool:","Eeschema 7.0.11"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","27"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"BT1","1","CR2032","Battery_Cell","ProjectLibrary:BatteryHolder_CH2x-2032LF","Single-cell battery","",""
"C1, C2, C3, C4, C5, C6, C7, C8","8","0.1u","C_Small","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","Unpolarized capacitor, small symbol","",""
"C9","1","100p","C_Small","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","Unpolarized capacitor, small symbol","",""
"C10, C11","2","47u","C_Polarized_Small","ProjectLibrary:CP_Radial_D5.0mm_P2.00mm_Horizontal","Polarized capacitor, small symbol","",""
"D1, D2, D3","3","BAT43","BAT43","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","30V 0.2A Small Signal Schottky Diode, DO-35","",""
"IC1, IC2","2","4M SRAM","AS6C4008-55PIN","ProjectLibrary:DIP32_600mil_FineLongPad","SRAM 4M, 2.7-5.5V, 55ns 512K x 8 Asynch SRAM","",""
"R1, R2","2","10K","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor, small symbol","",""
"R3","1","3.3K","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor, small symbol","",""
"RN1","1","10k","R_Network08","Resistor_THT:R_Array_SIP9","8 resistor network, star topology, bussed resistors, small symbol","",""
"S1","1","TVDP01-095BB1","TVDP01-095BB1","_GoriponsoftLibrary:TVDP01-095BB1","6x6 Through Hole & Ground Terminal Type,TS 6MM V H=9.5 BULK ","",""
"U1, U2","2","74HC670","74HC670","ProjectLibrary:DIP16_300mil_FineLongPad","4 x 4 Register Files Open Collector","",""
"U3","1","74AHC138","74AHC138","ProjectLibrary:DIP16_300mil_FineLongPad","3-to-8 line decoder/multiplexer inverting, DIP-16/SOIC-16/SSOP-16","",""
"U4","1","74AHC00","74AHC00","ProjectLibrary:DIP14_300mil_FineLongPad","quad 2-input NAND gate","",""
"U5","1","74AHC32","74AHC32","ProjectLibrary:DIP14_300mil_FineLongPad","Quad 2-input OR","",""
