Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_CH2x-2032LF,1,CR2032,
"C1, C2, C3, C4, C5, C6, C7, C8",C_Disc_D3.0mm_W1.6mm_P2.50mm,8,0.1u,
"C10, C11",CP_Radial_D5.0mm_P2.00mm_Horizontal,2,47u,
C9,C_Disc_D4.3mm_W1.9mm_P5.00mm,1,100p,
"D1, D2, D3",D_DO-35_SOD27_P7.62mm_Horizontal,3,BAT43,
"IC1, IC2",DIP32_600mil_FineLongPad,2,4M SRAM,
"R1, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,10K,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,3.3K,
RN1,R_Array_SIP9,1,10k,
S1,TVDP01-095BB1,1,TVDP01-095BB1,
"U1, U2",DIP16_300mil_FineLongPad,2,74HC670,
U3,DIP16_300mil_FineLongPad,1,74AHC138,
U4,DIP14_300mil_FineLongPad,1,74AHC00,
U5,DIP14_300mil_FineLongPad,1,74AHC32,
